Name,State,Type,Popularity,BestTimeToVisit
Taj Mahal,Uttar Pradesh,Historical,8.691906259,Nov-Feb
Goa Beaches,Goa,Beach,8.605031858,Nov-Mar
Jaipur City,Rajasthan,City,9.225372008,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.977385536,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.399821878,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.648949544,Nov-Feb
Goa Beaches,Goa,Beach,9.145068342,Nov-Mar
Jaipur City,Rajasthan,City,9.458704539,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.260450137,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.811952082,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.177709283,Nov-Feb
Goa Beaches,Goa,Beach,8.084317506,Nov-Mar
Jaipur City,Rajasthan,City,9.114721643,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.551426231,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.297389087,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.337332882,Nov-Feb
Goa Beaches,Goa,Beach,7.524150402,Nov-Mar
Jaipur City,Rajasthan,City,8.332572924,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.017090236,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.930902395,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.321865627,Nov-Feb
Goa Beaches,Goa,Beach,7.745073501,Nov-Mar
Jaipur City,Rajasthan,City,7.883349652,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.182423104,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.416526131,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.088205553,Nov-Feb
Goa Beaches,Goa,Beach,7.504499934,Nov-Mar
Jaipur City,Rajasthan,City,8.471855315,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.32051439,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.930637907,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.534267494,Nov-Feb
Goa Beaches,Goa,Beach,7.806330196,Nov-Mar
Jaipur City,Rajasthan,City,7.684440449,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.206055639,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.115627955,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.152769658,Nov-Feb
Goa Beaches,Goa,Beach,8.874757886,Nov-Mar
Jaipur City,Rajasthan,City,9.458687608,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.276722027,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.451473448,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.45205627,Nov-Feb
Goa Beaches,Goa,Beach,8.854828173,Nov-Mar
Jaipur City,Rajasthan,City,8.935833781,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.844208014,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.987615299,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.666633063,Nov-Feb
Goa Beaches,Goa,Beach,7.726020725,Nov-Mar
Jaipur City,Rajasthan,City,9.072662351,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.015972831,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.180477326,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.329362265,Nov-Feb
Goa Beaches,Goa,Beach,8.298754591,Nov-Mar
Jaipur City,Rajasthan,City,8.399568313,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.116931496,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.560629647,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.779339175,Nov-Feb
Goa Beaches,Goa,Beach,8.061326287,Nov-Mar
Jaipur City,Rajasthan,City,8.648115222,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.490122865,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.090294276,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.255411352,Nov-Feb
Goa Beaches,Goa,Beach,9.379786904,Nov-Mar
Jaipur City,Rajasthan,City,9.202094231,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.995381522,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.264285623,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.657185751,Nov-Feb
Goa Beaches,Goa,Beach,7.593468222,Nov-Mar
Jaipur City,Rajasthan,City,7.599766915,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.251449512,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.302199786,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.918856059,Nov-Feb
Goa Beaches,Goa,Beach,9.498128983,Nov-Mar
Jaipur City,Rajasthan,City,9.365362187,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.618525609,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.051674305,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.019776841,Nov-Feb
Goa Beaches,Goa,Beach,8.724365523,Nov-Mar
Jaipur City,Rajasthan,City,8.697245496,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.482629445,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.167168853,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.113730398,Nov-Feb
Goa Beaches,Goa,Beach,8.067416541,Nov-Mar
Jaipur City,Rajasthan,City,9.255202769,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.333748543,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.877439168,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.093807911,Nov-Feb
Goa Beaches,Goa,Beach,8.322799779,Nov-Mar
Jaipur City,Rajasthan,City,9.018383604,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.686130971,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.864848872,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.775155892,Nov-Feb
Goa Beaches,Goa,Beach,7.842354722,Nov-Mar
Jaipur City,Rajasthan,City,9.116298425,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.67865796,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.187165617,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.984287702,Nov-Feb
Goa Beaches,Goa,Beach,8.882535315,Nov-Mar
Jaipur City,Rajasthan,City,7.511446247,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.154277486,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.550622272,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.357876872,Nov-Feb
Goa Beaches,Goa,Beach,7.901206475,Nov-Mar
Jaipur City,Rajasthan,City,9.293866271,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.032056857,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.36769562,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.49482356,Nov-Feb
Goa Beaches,Goa,Beach,8.670099992,Nov-Mar
Jaipur City,Rajasthan,City,8.180179995,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.024075275,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.885980061,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.979764649,Nov-Feb
Goa Beaches,Goa,Beach,8.196505601,Nov-Mar
Jaipur City,Rajasthan,City,7.576534513,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.46714704,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.717346793,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.636073234,Nov-Feb
Goa Beaches,Goa,Beach,9.219798014,Nov-Mar
Jaipur City,Rajasthan,City,7.698985654,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.95364316,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.928950862,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.624112218,Nov-Feb
Goa Beaches,Goa,Beach,7.791202933,Nov-Mar
Jaipur City,Rajasthan,City,9.31595004,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.921320004,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.136472031,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.271757062,Nov-Feb
Goa Beaches,Goa,Beach,8.132745077,Nov-Mar
Jaipur City,Rajasthan,City,7.513479447,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.066328358,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.460634458,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.853926859,Nov-Feb
Goa Beaches,Goa,Beach,8.188672008,Nov-Mar
Jaipur City,Rajasthan,City,7.813559347,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.743269418,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.398122785,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.153562079,Nov-Feb
Goa Beaches,Goa,Beach,8.863570277,Nov-Mar
Jaipur City,Rajasthan,City,9.195643437,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.426322913,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.907807741,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.618133332,Nov-Feb
Goa Beaches,Goa,Beach,7.601039201,Nov-Mar
Jaipur City,Rajasthan,City,8.299735699,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.830541228,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.388011429,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.37384412,Nov-Feb
Goa Beaches,Goa,Beach,7.770934467,Nov-Mar
Jaipur City,Rajasthan,City,7.692741092,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.812523861,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.86387233,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.450175079,Nov-Feb
Goa Beaches,Goa,Beach,9.000248319,Nov-Mar
Jaipur City,Rajasthan,City,9.072635914,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.484797547,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.933121409,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.967583118,Nov-Feb
Goa Beaches,Goa,Beach,7.607643334,Nov-Mar
Jaipur City,Rajasthan,City,8.533439719,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.01756636,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.03668464,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.738547102,Nov-Feb
Goa Beaches,Goa,Beach,7.54477047,Nov-Mar
Jaipur City,Rajasthan,City,8.168780569,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.818366934,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.554650205,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.967520191,Nov-Feb
Goa Beaches,Goa,Beach,9.185298189,Nov-Mar
Jaipur City,Rajasthan,City,7.634504263,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.686748943,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.848982806,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.721043377,Nov-Feb
Goa Beaches,Goa,Beach,9.486279939,Nov-Mar
Jaipur City,Rajasthan,City,7.72225221,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.360692115,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.866219314,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.165093922,Nov-Feb
Goa Beaches,Goa,Beach,9.446896779,Nov-Mar
Jaipur City,Rajasthan,City,8.544351694,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.299149271,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.091363134,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.236840653,Nov-Feb
Goa Beaches,Goa,Beach,8.332585022,Nov-Mar
Jaipur City,Rajasthan,City,8.872498744,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.816345212,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.242881343,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.118994457,Nov-Feb
Goa Beaches,Goa,Beach,8.843079931,Nov-Mar
Jaipur City,Rajasthan,City,8.202625979,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.649611763,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.150588626,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.072256876,Nov-Feb
Goa Beaches,Goa,Beach,8.419905789,Nov-Mar
Jaipur City,Rajasthan,City,7.672819737,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.764994889,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.092972455,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.393643742,Nov-Feb
Goa Beaches,Goa,Beach,9.43385527,Nov-Mar
Jaipur City,Rajasthan,City,8.2558932,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.112874174,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.77167519,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.653509094,Nov-Feb
Goa Beaches,Goa,Beach,8.246718656,Nov-Mar
Jaipur City,Rajasthan,City,9.042840186,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.963483704,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.456754675,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.282226276,Nov-Feb
Goa Beaches,Goa,Beach,8.560557284,Nov-Mar
Jaipur City,Rajasthan,City,9.232664943,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.65054329,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.277611273,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.188261258,Nov-Feb
Goa Beaches,Goa,Beach,9.149424673,Nov-Mar
Jaipur City,Rajasthan,City,7.971646077,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.3782447,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.584036611,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.3672022,Nov-Feb
Goa Beaches,Goa,Beach,9.144764642,Nov-Mar
Jaipur City,Rajasthan,City,9.034168574,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.237610355,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.869504608,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.719051822,Nov-Feb
Goa Beaches,Goa,Beach,8.240843057,Nov-Mar
Jaipur City,Rajasthan,City,8.936949816,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.077912596,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.793334589,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.721478394,Nov-Feb
Goa Beaches,Goa,Beach,8.882153319,Nov-Mar
Jaipur City,Rajasthan,City,8.534275498,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.60393591,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.619039723,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.78825614,Nov-Feb
Goa Beaches,Goa,Beach,8.789144742,Nov-Mar
Jaipur City,Rajasthan,City,7.782973981,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.42096054,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.734064598,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.424772792,Nov-Feb
Goa Beaches,Goa,Beach,8.160740974,Nov-Mar
Jaipur City,Rajasthan,City,8.127785897,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.757659225,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.518452202,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.668642705,Nov-Feb
Goa Beaches,Goa,Beach,9.164688152,Nov-Mar
Jaipur City,Rajasthan,City,9.068862539,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.011521245,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.459953314,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.617311411,Nov-Feb
Goa Beaches,Goa,Beach,9.153509849,Nov-Mar
Jaipur City,Rajasthan,City,7.879027093,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.894284044,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.151090723,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.041916757,Nov-Feb
Goa Beaches,Goa,Beach,8.836459649,Nov-Mar
Jaipur City,Rajasthan,City,8.125034099,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.143167495,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.59789687,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.403655362,Nov-Feb
Goa Beaches,Goa,Beach,8.284116199,Nov-Mar
Jaipur City,Rajasthan,City,7.617165381,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.382675748,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.917003558,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.083688761,Nov-Feb
Goa Beaches,Goa,Beach,7.758783398,Nov-Mar
Jaipur City,Rajasthan,City,9.407835019,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.025088515,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.141722726,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.918773158,Nov-Feb
Goa Beaches,Goa,Beach,8.813848708,Nov-Mar
Jaipur City,Rajasthan,City,8.015626863,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.588087849,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.434929745,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.232289962,Nov-Feb
Goa Beaches,Goa,Beach,7.935193697,Nov-Mar
Jaipur City,Rajasthan,City,9.324373463,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.777024607,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.388578038,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,7.591070677,Nov-Feb
Goa Beaches,Goa,Beach,8.694303253,Nov-Mar
Jaipur City,Rajasthan,City,9.120385789,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.84120695,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.639341731,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.430864466,Nov-Feb
Goa Beaches,Goa,Beach,8.888987617,Nov-Mar
Jaipur City,Rajasthan,City,8.219242612,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.014866522,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.992391384,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.36200147,Nov-Feb
Goa Beaches,Goa,Beach,9.171525351,Nov-Mar
Jaipur City,Rajasthan,City,8.172782288,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.844009444,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.934186546,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.571800372,Nov-Feb
Goa Beaches,Goa,Beach,8.259128922,Nov-Mar
Jaipur City,Rajasthan,City,7.534360803,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.55304694,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.301807912,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.013451633,Nov-Feb
Goa Beaches,Goa,Beach,7.633292997,Nov-Mar
Jaipur City,Rajasthan,City,8.804695152,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.966364802,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.799198882,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.634308851,Nov-Feb
Goa Beaches,Goa,Beach,7.649281077,Nov-Mar
Jaipur City,Rajasthan,City,9.356796584,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.611208289,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.111872494,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.448064464,Nov-Feb
Goa Beaches,Goa,Beach,8.419860353,Nov-Mar
Jaipur City,Rajasthan,City,8.122052828,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.122685723,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.862071974,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.093952306,Nov-Feb
Goa Beaches,Goa,Beach,7.923067613,Nov-Mar
Jaipur City,Rajasthan,City,8.16049555,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.923207094,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.74668619,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.033280743,Nov-Feb
Goa Beaches,Goa,Beach,8.617795776,Nov-Mar
Jaipur City,Rajasthan,City,7.799132449,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.84963556,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.353685271,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.146376228,Nov-Feb
Goa Beaches,Goa,Beach,7.875971585,Nov-Mar
Jaipur City,Rajasthan,City,8.130587469,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.662104839,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.767402106,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.206421939,Nov-Feb
Goa Beaches,Goa,Beach,8.382390141,Nov-Mar
Jaipur City,Rajasthan,City,8.63148984,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.2148979,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.635735288,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.082935361,Nov-Feb
Goa Beaches,Goa,Beach,8.94287466,Nov-Mar
Jaipur City,Rajasthan,City,7.632343967,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.71066537,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.310237104,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.268792308,Nov-Feb
Goa Beaches,Goa,Beach,8.576362703,Nov-Mar
Jaipur City,Rajasthan,City,8.139654822,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.568613099,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.05157873,Apr-Jun
